Oct 31 15:31:35 node1 systemd[12098]: mysqld_exporter.service: Failed to execute command: No such file or directory
Oct 31 15:31:35 node1 systemd[12098]: mysqld_exporter.service: Failed at step EXEC spawning /opt/mysqld_exporter/mysqld_exporter: No such file or directory
Oct 31 15:49:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:49:25.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:49:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:49:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:49:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:49:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:50:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:50:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:50:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:50:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:50:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:50:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:50:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:50:55.977Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:51:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:51:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:51:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:51:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:51:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:51:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:51:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:51:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:52:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:52:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:52:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:52:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:52:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:52:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:52:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:52:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:53:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:53:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:53:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:53:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:53:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:53:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:53:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:53:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:54:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:54:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:54:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:54:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:54:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:54:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:54:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:54:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:55:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:55:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:55:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:55:25.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:55:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:55:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:55:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:55:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:56:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:56:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:56:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:56:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:56:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:56:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:56:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:56:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:57:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:57:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:57:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:57:25.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:57:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:57:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
